image1.pgm	7			
665	209	103	25	
I	668	216	4	14
C	685	216	8	14
G	694	216	8	14
P	703	216	8	15
2	722	217	8	14
L	733	217	4	14
1	743	217	4	14
image2.pgm	7			
511	219	147	36	
1	531	225	8	22
C	556	226	12	23
G	570	227	12	22
P	584	227	13	23
2	612	228	14	23
1	630	229	7	22
1	644	230	7	22
image3.pgm	6			
365	122	181	45	
1	391	128	10	28
C	421	129	16	28
G	441	129	15	29
P	457	130	17	29
2	496	131	17	30
1	519	131	9	29
image4.pgm	7			
253	56	210	52	
1	270	65	10	34
G	304	65	19	34
G	326	65	18	34
P	347	65	22	34
2	391	65	23	34
1	420	65	13	34
1	442	65	14	34
